Timestamp,Voltage,Current,Frequency
2025-07-01 12:00:00,234,4.52,50.16
2025-07-01 12:01:00,223,5.45,49.98
2025-07-01 12:02:00,224,5.24,50.03
2025-07-01 12:03:00,226,5.37,50.18
2025-07-01 12:04:00,222,5.34,49.96
2025-07-01 12:05:00,232,5.05,49.87
2025-07-01 12:06:00,223,5.35,49.9
2025-07-01 12:07:00,230,5.24,49.82
2025-07-01 12:08:00,228,5.21,49.95
2025-07-01 12:09:00,234,5.13,49.94
2025-07-01 12:10:00,225,4.63,49.91
2025-07-01 12:11:00,221,5.29,50.11
2025-07-01 12:12:00,230,4.53,49.99
2025-07-01 12:13:00,227,5.27,49.82
2025-07-01 12:14:00,230,4.52,49.84
2025-07-01 12:15:00,235,5.44,49.85
2025-07-01 12:16:00,223,4.95,49.95
2025-07-01 12:17:00,228,4.8,49.8
2025-07-01 12:18:00,229,4.5,49.95
2025-07-01 12:19:00,230,4.97,49.91
2025-07-01 12:20:00,235,4.95,49.99
2025-07-01 12:21:00,232,5.27,50.1
2025-07-01 12:22:00,222,4.8,50.01
2025-07-01 12:23:00,220,4.63,49.81
2025-07-01 12:24:00,224,4.87,49.85
2025-07-01 12:25:00,221,5.13,49.95
2025-07-01 12:26:00,227,5.4,49.96
2025-07-01 12:27:00,229,5.35,49.96
2025-07-01 12:28:00,232,4.6,49.84
2025-07-01 12:29:00,228,4.69,50.15
